,hours
2019-28,3.05
2019-29,7.91
2019-30,10.04
2019-31,7.28
2019-32,10.25
2019-33,12.56
2019-34,14.15
2019-35,15.93
2019-36,18.44
2019-37,22.84
2019-38,10.44
2019-39,19.47
2019-40,13.9
2019-41,17.4
2019-42,30.48
2019-43,31.12
2019-44,11.3
2019-45,18.53
2019-46,13.94
2019-47,9.43
2019-48,17.28
2019-49,9.52
2019-50,12.55
2019-51,18.21
2019-52,11.27
2020-0,9.89
2020-1,16.38
2020-2,14.08
2020-3,16.17
2020-4,17.79
2020-5,24.0
2020-6,18.36
2020-7,17.65
2020-8,10.74
2020-9,18.49
2020-10,22.33
2020-11,18.38
2020-12,21.98
2020-13,13.2
2020-14,21.15
2020-15,24.7
2020-16,27.07
2020-17,22.03
2020-18,37.87
2020-19,21.98
2020-20,24.59
2020-21,26.64
2020-22,16.88
2020-23,12.8
2020-24,22.04
2020-25,24.66
2020-26,16.25
2020-27,18.01
2020-28,20.43
2020-29,30.85
2020-30,24.22
2020-31,25.58
2020-32,28.49
2020-33,21.19
2020-34,18.39
2020-35,13.85
2020-36,27.93
2020-37,28.41
2020-38,36.77
2020-39,32.71
2020-40,26.78
2020-41,24.49
2020-42,25.34
2020-43,24.98
2020-44,25.37
2020-45,20.14
2020-46,23.29
2020-47,18.92
2020-48,14.65
2020-49,18.33
2020-50,21.55
2020-51,16.99
2020-52,13.92
2021-0,10.73
2021-1,29.52
2021-2,33.08
2021-3,23.27
2021-4,13.54
2021-5,29.49
2021-6,28.13
2021-7,32.68
2021-8,31.54
2021-9,25.96
2021-10,28.34
2021-11,26.29
2021-12,32.65
2021-13,22.06
2021-14,23.41
2021-15,27.05
2021-16,21.24
2021-17,26.5
2021-18,28.8
2021-19,26.94
2021-20,39.49
2021-21,32.6
2021-22,28.29
2021-23,27.65
2021-24,29.47
2021-25,26.15
2021-26,28.99
2021-27,18.37
2021-28,28.13
2021-29,39.85
2021-30,30.21
2021-31,30.55
2021-32,31.38
2021-33,20.81
2021-34,28.68
2021-35,25.11
2021-36,38.23
2021-37,26.23
2021-38,25.34
2021-39,28.15
2021-40,21.95
2021-41,21.7
2021-42,19.68
2021-43,21.31
2021-44,26.73
2021-45,24.28
2021-46,23.72
2021-47,25.76
2021-48,27.1
2021-49,18.51
2021-50,16.62
2021-51,13.79
2021-52,35.73
2022-0,7.95
2022-1,19.76
2022-2,22.64
2022-3,30.59
2022-4,21.63
2022-5,28.48
2022-6,23.21
2022-7,6.84
2022-8,10.38
2022-9,16.25
2022-10,25.42
2022-11,24.86
2022-12,14.53
2022-13,15.12
2022-14,21.9
2022-15,29.52
2022-16,30.97
2022-17,27.23
2022-18,13.91
2022-19,6.23
2022-20,0.86
2022-21,0.0
2022-22,0.0
2022-23,0.0
2022-24,10.88
2022-25,9.78
2022-26,12.41
2022-27,9.36
2022-28,13.68
2022-29,15.6
2022-30,20.79
2022-31,16.67
2022-32,15.02
2022-33,26.79
2022-34,19.94
2022-35,17.79
2022-36,14.65
2022-37,18.44
2022-38,20.8
2022-39,18.26
2022-40,13.43
2022-41,25.28
2022-42,14.37
2022-43,19.8
2022-44,14.54
2022-45,16.82
2022-46,17.52
2022-47,21.94
2022-48,11.46
2022-49,18.76
2022-50,20.32
2022-51,16.28
2022-52,34.63
2023-0,16.84
2023-1,14.46
2023-2,19.85
2023-3,16.97
2023-4,18.23
2023-5,24.29
2023-6,23.04
2023-7,25.45
2023-8,21.92
2023-9,11.6
2023-10,13.86
2023-11,19.85
2023-12,18.66
2023-13,23.88
2023-14,17.53
2023-15,16.58
2023-16,17.04
2023-17,20.3
2023-18,24.8
2023-19,15.96
2023-20,23.52
2023-21,14.4
2023-22,29.54
2023-23,28.46
2023-24,21.55
2023-25,23.58
2023-26,25.11
2023-27,20.48
2023-28,34.34
2023-29,19.96
2023-30,12.39
2023-31,13.0
2023-32,21.75
2023-33,23.49
2023-34,23.06
2023-35,18.99
2023-36,17.5
2023-37,16.54
2023-38,27.59
2023-39,16.61
2023-40,22.78
2023-41,26.36
2023-42,18.76
2023-43,11.56
2023-44,15.6
2023-45,23.78
2023-46,17.47
2023-47,15.53
2023-48,7.89
2023-49,9.61
2023-50,13.14
2023-51,39.15
2023-52,4.57
2024-0,16.26
2024-1,19.0
2024-2,46.93
2024-3,9.3
2024-4,16.02
2024-5,10.47
2024-6,16.61
2024-7,27.47
2024-8,35.79
2024-9,30.25
2024-10,33.91
2024-11,31.78
2024-12,32.48
2024-13,32.05
2024-14,31.52
2024-15,28.68
2024-16,25.53
2024-17,14.14
2024-18,18.53
2024-19,29.24
2024-20,18.14
2024-21,19.6
2024-22,17.4
2024-23,31.47
2024-24,22.38
2024-25,28.08
2024-26,22.96
2024-27,15.08
2024-28,22.39
2024-29,50.71
2024-30,33.51
2024-31,12.91
2024-32,14.78
2024-33,40.75
2024-34,11.64
2024-35,14.87
2024-36,30.52
2024-37,35.76
2024-38,26.34
2024-39,30.18
2024-40,17.13
2024-41,31.8
2024-42,14.75
2024-43,17.2
2024-44,28.49
2024-45,22.05
2024-46,18.6
2024-47,20.51
2024-48,21.5
2024-49,25.44
2024-50,25.58
2024-51,34.65
2024-52,14.18
2025-0,8.42
2025-1,17.93
2025-2,18.2
2025-3,41.0
2025-4,16.62
2025-5,47.22
2025-6,58.74
2025-7,58.02
2025-8,55.74
2025-9,34.71
2025-10,34.64
2025-11,40.45
2025-12,32.52
2025-13,35.72
2025-14,44.86
2025-15,29.66
2025-16,52.87
2025-17,28.32
2025-18,32.21
2025-19,25.39
2025-20,14.9
2025-21,22.3
2025-22,1.92
