,hours
2020-33,16.87
2020-34,14.73
2020-35,16.01
2020-36,27.66
2020-37,13.12
2020-38,19.22
2020-39,19.85
2020-40,17.96
2020-41,26.67
2020-42,17.1
2020-43,21.34
2020-44,26.77
2020-45,30.1
2020-46,24.44
2020-47,36.75
2020-48,13.28
2020-49,21.56
2020-50,13.96
2020-51,15.49
2020-52,10.38
2021-0,0.53
2021-1,11.63
2021-2,17.31
2021-3,17.28
2021-4,17.3
2021-5,20.39
2021-6,19.28
2021-7,18.56
2021-8,10.28
2021-9,11.24
2021-10,21.23
2021-11,7.81
2021-12,18.81
2021-13,17.46
2021-14,17.72
2021-15,12.25
2021-16,13.04
2021-17,8.09
2021-18,22.96
2021-19,17.44
2021-20,14.09
2021-21,10.9
2021-22,7.57
2021-23,11.6
2021-24,18.48
2021-25,11.61
2021-26,13.76
2021-27,3.67
2021-28,9.02
2021-29,4.34
2021-30,14.25
2021-31,8.03
2021-32,11.98
2021-33,13.4
2021-34,9.27
2021-35,7.27
2021-36,13.12
2021-37,11.66
2021-38,8.32
2021-39,10.23
2021-40,10.5
2021-41,19.88
2021-42,16.99
2021-43,7.23
2021-44,5.04
2021-45,6.32
2021-46,15.94
2021-47,12.89
2021-48,12.99
2021-49,10.87
2021-50,17.81
2021-51,26.32
2021-52,11.93
2022-0,0.97
2022-1,11.95
2022-2,17.04
2022-3,9.99
2022-4,7.18
2022-5,9.95
2022-6,23.61
2022-7,9.15
2022-8,4.03
2022-9,12.43
2022-10,12.13
2022-11,5.89
2022-12,6.47
2022-13,7.42
2022-14,11.0
2022-15,14.57
2022-16,10.35
2022-17,12.17
2022-18,11.94
2022-19,6.49
2022-20,8.7
2022-21,11.64
2022-22,13.49
2022-23,20.43
2022-24,8.45
2022-25,15.38
2022-26,11.54
2022-27,18.26
2022-28,13.15
2022-29,9.57
2022-30,12.56
2022-31,12.81
2022-32,12.5
2022-33,14.19
2022-34,9.8
2022-35,7.36
2022-36,9.7
2022-37,7.12
2022-38,7.67
2022-39,9.33
2022-40,5.72
2022-41,15.03
2022-42,15.24
2022-43,3.58
2022-44,3.68
2022-45,12.05
2022-46,5.55
2022-47,13.74
2022-48,4.85
2022-49,13.74
2022-50,11.79
2022-51,3.02
2022-52,16.23
2023-0,4.07
2023-1,3.69
2023-2,0.0
2023-3,7.74
2023-4,16.67
2023-5,0.19
2023-6,4.32
2023-7,15.96
2023-8,7.4
2023-9,10.39
2023-10,3.3
2023-11,8.14
2023-12,9.82
2023-13,15.73
2023-14,14.4
2023-15,2.84
2023-16,7.03
2023-17,6.8
2023-18,3.51
2023-19,2.64
2023-20,6.92
2023-21,16.09
2023-22,19.57
2023-23,14.71
2023-24,8.46
2023-25,0.0
2023-26,2.27
2023-27,11.03
2023-28,16.92
2023-29,9.0
2023-30,6.17
2023-31,14.64
2023-32,18.27
2023-33,8.03
2023-34,0.61
2023-35,9.71
2023-36,12.93
2023-37,16.08
2023-38,32.54
2023-39,10.73
2023-40,11.87
2023-41,1.79
2023-42,0.0
