,hours
2024-25,24.37
2024-26,26.94
2024-27,19.66
2024-28,35.48
2024-29,27.46
2024-30,29.1
2024-31,20.72
2024-32,16.51
2024-33,10.7
2024-34,24.06
2024-35,36.78
2024-36,28.98
2024-37,22.87
2024-38,27.68
2024-39,29.71
2024-40,32.8
2024-41,12.3
2024-42,24.7
2024-43,12.21
2024-44,28.43
2024-45,22.25
2024-46,19.56
2024-47,24.9
2024-48,27.76
2024-49,28.53
2024-50,7.22
2024-51,3.07
2024-52,4.87
2025-0,9.84
2025-1,11.63
2025-2,12.0
2025-3,11.78
2025-4,26.67
2025-5,33.22
2025-6,11.65
2025-7,14.65
2025-8,30.08
2025-9,9.48
2025-10,9.06
2025-11,17.88
2025-12,25.22
2025-13,0.0
