,hours
2019-42,5.05
2019-43,4.48
2019-44,3.78
2019-45,2.42
2019-46,3.89
2019-47,5.2
2019-48,5.33
2019-49,5.0
2019-50,6.02
2019-51,1.39
2019-52,1.32
2020-0,3.11
2020-1,7.95
2020-2,5.23
2020-3,2.79
2020-4,2.04
2020-5,3.89
2020-6,3.02
2020-7,4.44
2020-8,8.0
2020-9,3.58
2020-10,11.95
2020-11,9.72
2020-12,7.39
2020-13,7.24
2020-14,7.84
2020-15,6.46
2020-16,5.84
2020-17,10.13
2020-18,6.33
2020-19,6.92
2020-20,6.82
2020-21,5.22
2020-22,5.65
2020-23,4.87
2020-24,5.66
2020-25,7.56
2020-26,5.71
2020-27,5.15
2020-28,7.49
2020-29,5.15
2020-30,18.22
2020-31,9.87
2020-32,10.0
2020-33,15.39
2020-34,18.28
2020-35,9.58
2020-36,12.49
2020-37,7.99
2020-38,14.37
2020-39,8.57
2020-40,8.35
2020-41,6.93
2020-42,8.22
2020-43,11.89
2020-44,4.65
2020-45,9.23
2020-46,7.57
2020-47,7.78
2020-48,6.78
2020-49,8.12
2020-50,11.13
2020-51,7.34
2020-52,3.84
2021-0,0.56
2021-1,9.77
2021-2,6.22
2021-3,13.78
2021-4,10.31
2021-5,6.35
2021-6,10.68
2021-7,8.85
2021-8,7.61
2021-9,6.99
2021-10,17.4
2021-11,13.93
2021-12,7.3
2021-13,13.19
2021-14,10.2
2021-15,22.65
2021-16,4.51
2021-17,3.8
2021-18,9.47
2021-19,13.79
2021-20,8.76
2021-21,8.95
2021-22,4.67
2021-23,7.79
2021-24,7.22
2021-25,11.16
2021-26,9.35
2021-27,5.53
2021-28,10.17
2021-29,12.51
2021-30,14.7
2021-31,15.38
2021-32,19.85
2021-33,21.9
2021-34,13.68
2021-35,5.93
2021-36,10.06
2021-37,7.42
2021-38,3.4
2021-39,4.92
2021-40,6.57
2021-41,4.18
2021-42,7.98
2021-43,4.28
2021-44,6.98
2021-45,5.64
2021-46,6.55
2021-47,4.96
2021-48,6.69
2021-49,4.53
2021-50,5.56
2021-51,14.76
2021-52,2.17
2022-0,0.0
2022-1,4.0
2022-2,4.52
2022-3,1.74
2022-4,4.93
2022-5,8.74
2022-6,3.98
2022-7,4.16
2022-8,13.82
2022-9,22.47
2022-10,7.93
2022-11,6.82
2022-12,7.01
2022-13,4.24
2022-14,6.78
2022-15,7.5
2022-16,5.37
2022-17,4.48
2022-18,3.94
2022-19,6.76
2022-20,5.9
2022-21,6.34
2022-22,2.44
2022-23,7.44
2022-24,3.03
2022-25,3.87
2022-26,3.59
2022-27,3.51
2022-28,5.96
2022-29,10.3
2022-30,2.62
2022-31,12.22
2022-32,5.02
2022-33,14.35
2022-34,7.18
2022-35,1.39
2022-36,2.89
2022-37,2.33
2022-38,7.45
2022-39,4.79
2022-40,5.43
2022-41,3.15
2022-42,8.54
2022-43,4.0
2022-44,7.47
2022-45,4.99
2022-46,10.22
2022-47,6.38
2022-48,7.44
2022-49,1.38
2022-50,8.79
2022-51,7.36
2022-52,7.59
2023-0,0.0
2023-1,3.72
2023-2,6.61
2023-3,5.04
2023-4,9.6
2023-5,5.36
2023-6,6.6
2023-7,8.78
2023-8,6.72
2023-9,10.91
2023-10,12.23
2023-11,21.51
2023-12,15.94
2023-13,30.16
2023-14,41.6
2023-15,9.2
2023-16,8.0
2023-17,18.6
2023-18,16.02
2023-19,12.87
2023-20,23.17
2023-21,10.24
2023-22,11.04
2023-23,24.25
2023-24,19.82
2023-25,5.39
2023-26,5.4
2023-27,14.79
2023-28,4.32
2023-29,6.13
2023-30,6.98
2023-31,3.57
2023-32,4.9
2023-33,16.66
2023-34,1.55
2023-35,2.67
2023-36,19.3
2023-37,1.98
2023-38,7.0
2023-39,10.39
2023-40,8.72
2023-41,5.93
2023-42,9.21
2023-43,8.55
2023-44,5.78
2023-45,8.36
2023-46,6.75
2023-47,5.59
2023-48,6.82
2023-49,37.79
2023-50,13.62
2023-51,8.41
2023-52,0.0
2024-0,3.14
2024-1,4.79
2024-2,6.04
2024-3,23.52
2024-4,8.09
