,hours
2022-13,8.14
2022-14,44.78
2022-15,26.05
2022-16,39.52
2022-17,20.69
2022-18,49.81
2022-19,28.32
2022-20,17.88
2022-21,33.58
2022-22,34.85
2022-23,26.35
2022-24,32.49
2022-25,23.81
2022-26,17.78
2022-27,14.81
2022-28,35.39
2022-29,24.13
2022-30,13.88
2022-31,20.35
2022-32,48.2
2022-33,42.9
2022-34,63.92
2022-35,20.74
2022-36,16.86
2022-37,10.33
2022-38,17.29
2022-39,27.24
2022-40,12.46
2022-41,0.0
2022-42,2.43
2022-43,17.48
2022-44,4.03
2022-45,19.04
2022-46,12.91
2022-47,58.6
2022-48,16.44
2022-49,25.94
2022-50,23.0
2022-51,2.03
2022-52,0.0
2023-0,4.75
2023-1,1.52
2023-2,20.71
2023-3,14.91
2023-4,15.43
2023-5,15.33
2023-6,4.95
2023-7,15.27
2023-8,14.96
2023-9,10.47
2023-10,0.36
2023-11,8.29
2023-12,14.69
2023-13,21.91
2023-14,25.93
2023-15,10.41
2023-16,10.95
2023-17,7.62
2023-18,0.0
2023-19,15.68
2023-20,77.99
2023-21,1.65
2023-22,5.55
2023-23,21.21
2023-24,25.6
2023-25,40.87
2023-26,13.13
2023-27,8.51
2023-28,26.61
2023-29,22.71
2023-30,0.0
2023-31,8.03
2023-32,11.03
2023-33,23.44
2023-34,55.34
2023-35,2.82
2023-36,20.86
2023-37,4.89
2023-38,5.34
2023-39,1.96
2023-40,1.25
2023-41,1.76
2023-42,15.45
2023-43,12.1
2023-44,11.14
2023-45,9.09
2023-46,13.46
2023-47,10.29
2023-48,6.13
2023-49,47.01
2023-50,54.71
2023-51,2.31
2023-52,9.93
2024-0,5.79
2024-1,9.77
2024-2,7.04
2024-3,17.05
2024-4,10.88
2024-5,1.96
2024-6,7.79
2024-7,8.58
2024-8,0.0
2024-9,2.84
2024-10,6.13
2024-11,2.98
2024-12,5.88
2024-13,35.5
2024-14,47.21
2024-15,54.78
2024-16,49.78
2024-17,11.17
2024-18,16.52
2024-19,12.99
2024-20,8.09
2024-21,9.54
2024-22,21.76
2024-23,14.26
2024-24,8.86
2024-25,17.65
2024-26,20.41
2024-27,28.37
2024-28,9.08
2024-29,15.07
2024-30,12.18
2024-31,24.42
2024-32,9.41
2024-33,4.61
2024-34,8.84
2024-35,11.6
2024-36,3.56
2024-37,19.59
2024-38,2.97
2024-39,1.89
2024-40,0.0
2024-41,5.99
2024-42,0.0
2024-43,0.0
2024-44,1.35
2024-45,0.0
2024-46,0.0
2024-47,12.81
2024-48,58.03
2024-49,38.61
2024-50,17.49
2024-51,15.02
2024-52,24.38
2025-0,12.92
2025-1,15.42
2025-2,0.0
