,hours
2024-44,0.5
2024-45,13.12
2024-46,13.81
2024-47,15.17
2024-48,22.05
2024-49,11.91
2024-50,17.79
2024-51,33.97
2024-52,9.26
2025-0,5.21
2025-1,31.64
2025-2,24.69
2025-3,11.62
2025-4,19.63
2025-5,39.97
2025-6,38.78
2025-7,36.15
2025-8,32.91
2025-9,21.48
2025-10,27.78
2025-11,30.95
2025-12,34.49
2025-13,31.99
2025-14,20.03
2025-15,20.99
2025-16,19.35
2025-17,26.58
2025-18,9.92
2025-19,20.58
2025-20,15.2
2025-21,18.43
2025-22,29.24
2025-23,17.16
2025-24,16.24
2025-25,2.92
2025-26,12.31
2025-27,15.3
2025-28,12.11
2025-29,14.88
2025-30,20.77
2025-31,7.12
2025-32,26.69
2025-33,9.84
2025-34,9.43
2025-35,9.12
2025-36,21.88
2025-37,11.89
2025-38,17.2
2025-39,16.97
2025-40,16.01
2025-41,20.35
2025-42,9.35
2025-43,10.73
