,hours
2023-36,33.33
2023-37,31.18
2023-38,37.39
2023-39,28.09
2023-40,9.94
2023-41,16.44
2023-42,27.4
2023-43,27.8
2023-44,31.45
2023-45,20.6
2023-46,24.83
2023-47,22.32
2023-48,27.78
2023-49,31.8
2023-50,24.62
2023-51,28.46
2023-52,7.2
2024-0,13.22
2024-1,18.89
2024-2,25.65
2024-3,17.76
2024-4,29.47
2024-5,26.84
2024-6,17.88
2024-7,18.89
2024-8,10.0
2024-9,9.0
2024-10,14.04
2024-11,21.87
2024-12,39.12
2024-13,37.5
2024-14,10.09
2024-15,23.78
2024-16,19.85
2024-17,27.68
2024-18,13.26
2024-19,22.9
2024-20,26.12
2024-21,17.88
2024-22,30.11
2024-23,15.23
2024-24,19.16
2024-25,18.46
2024-26,22.36
2024-27,15.24
2024-28,16.06
2024-29,41.34
2024-30,26.47
2024-31,12.25
2024-32,20.46
2024-33,23.99
2024-34,34.18
2024-35,11.39
2024-36,13.27
