,hours
2020-14,1.28
2020-15,1.29
2020-16,4.51
2020-17,6.12
2020-18,6.65
2020-19,10.05
2020-20,6.31
2020-21,7.96
2020-22,11.5
2020-23,6.95
2020-24,2.58
2020-25,6.27
2020-26,3.92
2020-27,7.21
2020-28,9.52
2020-29,11.15
2020-30,1.49
2020-31,8.99
2020-32,13.75
2020-33,6.55
2020-34,3.37
2020-35,15.51
2020-36,5.86
2020-37,17.9
2020-38,12.52
2020-39,3.09
2020-40,9.84
2020-41,8.2
2020-42,4.13
2020-43,10.65
2020-44,11.06
2020-45,8.59
2020-46,2.4
2020-47,8.31
2020-48,14.28
2020-49,17.87
2020-50,10.65
2020-51,5.89
2020-52,5.37
2021-0,1.17
2021-1,10.66
2021-2,9.25
2021-3,5.68
2021-4,4.9
2021-5,13.77
2021-6,14.7
2021-7,11.69
2021-8,5.51
2021-9,13.53
2021-10,15.15
2021-11,1.78
2021-12,10.31
2021-13,6.49
2021-14,14.03
2021-15,6.84
2021-16,11.51
2021-17,10.47
2021-18,15.03
2021-19,0.0
2021-20,9.8
2021-21,2.83
2021-22,9.97
2021-23,7.25
2021-24,4.64
2021-25,4.43
2021-26,1.73
2021-27,15.36
2021-28,4.45
2021-29,12.33
2021-30,0.0
2021-31,14.45
2021-32,10.47
2021-33,3.0
2021-34,8.05
2021-35,1.86
2021-36,9.03
2021-37,8.98
2021-38,0.0
2021-39,4.56
2021-40,3.78
2021-41,0.0
2021-42,3.29
2021-43,10.52
2021-44,15.01
2021-45,11.6
2021-46,9.76
2021-47,8.6
2021-48,3.85
2021-49,8.17
2021-50,3.83
2021-51,4.0
2021-52,2.18
2022-0,1.17
2022-1,1.21
2022-2,7.57
2022-3,7.61
2022-4,7.63
2022-5,0.0
2022-6,13.24
2022-7,3.74
2022-8,10.95
2022-9,5.83
2022-10,9.8
2022-11,5.96
2022-12,8.08
2022-13,3.1
2022-14,6.45
2022-15,10.74
2022-16,13.85
2022-17,10.37
2022-18,1.95
2022-19,11.42
2022-20,0.0
2022-21,5.89
2022-22,10.07
2022-23,1.39
2022-24,1.09
2022-25,5.16
2022-26,7.7
2022-27,12.67
2022-28,19.47
2022-29,1.93
2022-30,10.26
2022-31,8.33
2022-32,7.68
2022-33,4.91
2022-34,2.35
2022-35,1.49
2022-36,3.09
2022-37,4.6
2022-38,2.76
2022-39,3.85
2022-40,13.98
2022-41,9.83
2022-42,23.91
2022-43,7.09
2022-44,1.71
2022-45,10.83
2022-46,5.95
2022-47,9.05
2022-48,1.19
2022-49,2.93
2022-50,7.49
2022-51,2.98
2022-52,2.96
2023-0,0.3
2023-1,10.49
2023-2,12.38
2023-3,7.1
2023-4,0.0
2023-5,3.48
2023-6,1.02
2023-7,0.0
2023-8,3.85
2023-9,13.97
2023-10,9.67
2023-11,9.42
2023-12,9.73
2023-13,14.14
2023-14,17.77
2023-15,18.09
2023-16,12.33
2023-17,10.26
2023-18,7.11
2023-19,21.25
2023-20,4.78
2023-21,4.1
2023-22,6.91
2023-23,13.21
2023-24,15.24
2023-25,3.88
2023-26,15.56
2023-27,12.13
2023-28,6.59
2023-29,1.36
2023-30,14.87
2023-31,22.63
2023-32,10.78
2023-33,11.96
2023-34,5.46
2023-35,6.22
2023-36,12.0
2023-37,8.39
2023-38,8.93
2023-39,10.54
2023-40,4.62
2023-41,4.28
2023-42,7.01
2023-43,12.58
2023-44,17.0
2023-45,2.85
2023-46,4.99
2023-47,4.53
2023-48,4.16
2023-49,16.64
2023-50,5.57
2023-51,9.05
2023-52,0.0
2024-0,11.59
2024-1,19.47
2024-2,14.64
2024-3,22.27
2024-4,9.13
2024-5,4.37
2024-6,15.74
2024-7,20.45
2024-8,12.32
2024-9,6.05
2024-10,11.12
2024-11,9.16
2024-12,19.34
2024-13,9.93
2024-14,12.56
2024-15,12.7
2024-16,3.98
2024-17,4.97
