,hours
2019-51,7.46
2019-52,5.11
2020-0,4.79
2020-1,15.41
2020-2,14.85
2020-3,11.11
2020-4,15.14
2020-5,13.51
2020-6,20.65
2020-7,14.36
2020-8,27.43
2020-9,16.26
2020-10,18.44
2020-11,17.84
2020-12,9.38
2020-13,19.24
2020-14,25.51
2020-15,15.36
2020-16,32.69
2020-17,24.45
2020-18,21.89
2020-19,23.37
2020-20,23.25
2020-21,20.06
2020-22,30.12
2020-23,15.66
2020-24,17.89
2020-25,29.18
2020-26,32.42
2020-27,18.95
2020-28,14.05
2020-29,22.49
2020-30,14.76
2020-31,22.87
2020-32,29.02
2020-33,21.01
2020-34,13.74
2020-35,29.22
2020-36,34.17
2020-37,33.02
2020-38,32.04
2020-39,27.61
2020-40,23.16
2020-41,36.16
2020-42,23.95
2020-43,30.18
2020-44,11.2
2020-45,16.02
2020-46,28.32
2020-47,25.97
2020-48,10.55
2020-49,12.34
2020-50,6.87
2020-51,9.9
2020-52,17.8
2021-0,8.4
2021-1,16.4
2021-2,14.02
2021-3,26.64
2021-4,18.51
2021-5,19.92
2021-6,31.21
2021-7,18.99
2021-8,13.14
2021-9,10.52
2021-10,17.35
2021-11,9.63
2021-12,9.83
2021-13,7.86
2021-14,6.32
2021-15,21.35
2021-16,8.16
2021-17,3.21
2021-18,10.51
2021-19,4.06
2021-20,9.15
2021-21,9.84
2021-22,23.17
2021-23,20.85
2021-24,8.73
2021-25,4.92
2021-26,5.92
2021-27,13.7
2021-28,8.9
2021-29,14.9
2021-30,10.67
2021-31,29.53
2021-32,14.85
2021-33,15.2
2021-34,10.25
2021-35,12.91
2021-36,19.14
2021-37,7.88
2021-38,6.58
2021-39,14.69
2021-40,6.77
2021-41,13.56
2021-42,3.34
2021-43,7.5
2021-44,9.64
2021-45,9.34
2021-46,14.99
2021-47,26.58
2021-48,22.4
2021-49,14.58
2021-50,9.27
2021-51,11.9
2021-52,2.17
2022-0,0.0
2022-1,34.56
2022-2,21.68
2022-3,24.81
2022-4,22.68
2022-5,33.66
2022-6,25.93
2022-7,32.34
2022-8,20.53
2022-9,12.23
2022-10,12.04
2022-11,0.0
2022-12,13.63
2022-13,28.48
2022-14,17.5
2022-15,23.9
2022-16,14.24
2022-17,11.1
2022-18,15.48
2022-19,26.49
2022-20,10.78
2022-21,22.79
2022-22,23.44
2022-23,5.37
2022-24,10.95
2022-25,18.79
2022-26,4.31
2022-27,9.17
2022-28,13.86
2022-29,10.53
2022-30,12.49
2022-31,8.93
2022-32,9.47
2022-33,4.94
2022-34,12.66
2022-35,16.98
2022-36,18.39
2022-37,34.1
2022-38,14.85
2022-39,7.95
2022-40,22.89
2022-41,6.3
2022-42,6.76
2022-43,7.56
2022-44,11.51
2022-45,15.7
2022-46,39.22
2022-47,33.46
2022-48,14.99
2022-49,12.47
2022-50,2.2
2022-51,13.22
2022-52,10.49
2023-0,14.49
2023-1,9.93
2023-2,11.28
2023-3,11.02
2023-4,9.72
2023-5,10.26
2023-6,10.77
2023-7,4.67
2023-8,2.94
2023-9,11.67
2023-10,4.99
2023-11,15.47
2023-12,1.09
2023-13,14.97
2023-14,4.54
2023-15,15.19
2023-16,22.06
2023-17,2.84
2023-18,7.13
2023-19,6.79
2023-20,5.55
2023-21,12.06
2023-22,5.7
2023-23,29.81
2023-24,15.31
2023-25,9.23
2023-26,11.69
2023-27,13.94
2023-28,8.86
2023-29,10.54
2023-30,9.25
2023-31,5.73
2023-32,24.68
2023-33,11.57
2023-34,5.76
2023-35,11.26
2023-36,5.2
2023-37,8.03
2023-38,18.39
2023-39,32.58
2023-40,11.09
2023-41,6.27
2023-42,7.56
2023-43,9.16
2023-44,8.82
2023-45,6.47
2023-46,7.41
2023-47,12.42
2023-48,10.92
2023-49,70.93
2023-50,94.6
2023-51,10.0
2023-52,1.39
2024-0,20.2
2024-1,22.32
2024-2,36.34
2024-3,22.25
2024-4,23.24
2024-5,13.13
2024-6,24.07
2024-7,23.05
2024-8,6.81
2024-9,11.86
2024-10,17.3
2024-11,14.94
2024-12,10.65
2024-13,9.5
2024-14,27.02
2024-15,86.78
2024-16,12.1
2024-17,11.8
2024-18,4.24
2024-19,14.19
2024-20,14.59
2024-21,1.32
2024-22,3.57
2024-23,7.35
2024-24,10.09
2024-25,14.28
2024-26,11.74
2024-27,14.92
2024-28,12.18
2024-29,17.5
2024-30,0.99
2024-31,13.04
2024-32,17.13
2024-33,18.72
2024-34,5.05
2024-35,16.58
2024-36,3.08
2024-37,32.29
2024-38,22.96
2024-39,20.73
2024-40,11.76
2024-41,20.88
2024-42,20.93
2024-43,36.68
2024-44,56.72
2024-45,25.73
2024-46,41.63
2024-47,35.21
2024-48,70.5
2024-49,54.06
