,hours
2018-10,2.64
2018-11,6.88
2018-12,2.83
2018-13,2.86
2018-14,0.0
2018-15,1.11
2018-16,3.97
2018-17,5.62
2018-18,4.78
2018-19,10.05
2018-20,11.75
2018-21,10.39
2018-22,4.53
2018-23,7.11
2018-24,7.15
2018-25,4.05
2018-26,4.99
2018-27,6.79
2018-28,8.51
2018-29,1.03
2018-30,10.04
2018-31,5.18
2018-32,2.93
2018-33,16.32
2018-34,6.69
2018-35,8.03
2018-36,2.27
2018-37,5.39
2018-38,5.31
2018-39,2.87
2018-40,2.09
2018-41,5.87
2018-42,4.13
2018-43,3.48
2018-44,3.15
2018-45,8.51
2018-46,16.72
2018-47,10.43
2018-48,8.85
2018-49,13.06
2018-50,28.19
2018-51,14.07
2018-52,9.32
2019-0,7.33
2019-1,5.25
2019-2,6.38
2019-3,10.79
2019-4,10.49
2019-5,12.98
2019-6,8.43
2019-7,4.14
2019-8,8.5
2019-9,7.68
2019-10,12.81
2019-11,13.83
2019-12,8.5
2019-13,7.54
2019-14,8.04
2019-15,6.85
2019-16,11.16
2019-17,8.92
2019-18,12.1
2019-19,5.11
2019-20,5.62
2019-21,12.63
2019-22,13.94
2019-23,11.75
2019-24,13.26
2019-25,8.1
2019-26,4.87
2019-27,13.36
2019-28,12.89
2019-29,16.57
2019-30,6.28
2019-31,17.38
2019-32,18.85
2019-33,11.34
2019-34,5.66
2019-35,7.27
2019-36,11.93
2019-37,2.83
2019-38,1.05
2019-39,4.35
2019-40,5.32
2019-41,21.61
2019-42,10.27
2019-43,10.23
2019-44,5.22
2019-45,30.81
2019-46,14.98
2019-47,17.89
2019-48,13.65
2019-49,10.02
2019-50,18.15
2019-51,6.96
2019-52,3.62
2020-0,3.84
2020-1,0.84
2020-2,11.23
2020-3,34.06
2020-4,19.61
2020-5,24.88
2020-6,27.92
2020-7,22.1
2020-8,29.25
2020-9,18.1
2020-10,16.11
2020-11,32.92
2020-12,10.43
2020-13,33.69
2020-14,44.79
2020-15,34.0
2020-16,32.53
2020-17,29.27
2020-18,25.23
2020-19,18.03
2020-20,24.57
2020-21,35.44
2020-22,20.83
2020-23,34.68
2020-24,13.48
2020-25,27.98
2020-26,37.58
2020-27,31.81
2020-28,13.4
2020-29,23.74
2020-30,12.7
2020-31,17.31
2020-32,16.88
2020-33,17.71
2020-34,23.14
2020-35,22.11
2020-36,32.11
2020-37,24.98
2020-38,29.95
2020-39,14.4
2020-40,42.45
2020-41,23.64
2020-42,22.17
2020-43,19.59
2020-44,25.12
2020-45,15.07
2020-46,22.95
2020-47,26.45
2020-48,0.0
2020-49,7.15
2020-50,19.54
2020-51,16.9
2020-52,18.74
2021-0,12.79
2021-1,20.58
2021-2,18.11
2021-3,11.73
2021-4,26.4
2021-5,28.73
2021-6,22.6
2021-7,14.02
2021-8,23.54
2021-9,25.43
2021-10,0.57
2021-11,6.76
2021-12,21.04
2021-13,7.16
2021-14,19.97
2021-15,14.28
2021-16,14.32
2021-17,21.83
2021-18,23.0
2021-19,24.39
2021-20,21.27
2021-21,18.64
2021-22,35.2
2021-23,25.75
2021-24,16.2
2021-25,23.26
2021-26,29.24
2021-27,21.57
2021-28,16.28
2021-29,18.14
2021-30,16.2
2021-31,22.31
2021-32,15.16
2021-33,17.71
2021-34,26.82
2021-35,15.76
2021-36,14.25
2021-37,9.2
2021-38,9.0
2021-39,13.07
2021-40,15.44
2021-41,11.76
2021-42,11.73
2021-43,15.61
2021-44,15.61
2021-45,16.17
2021-46,8.4
2021-47,23.14
2021-48,22.85
2021-49,23.23
2021-50,3.54
2021-51,10.88
2021-52,12.7
2022-0,2.41
2022-1,12.47
2022-2,37.47
2022-3,11.27
2022-4,10.49
2022-5,11.28
2022-6,11.12
2022-7,12.79
2022-8,15.08
2022-9,2.87
2022-10,10.46
2022-11,0.0
2022-12,4.06
2022-13,5.22
2022-14,7.86
2022-15,3.11
2022-16,6.77
2022-17,1.21
2022-18,4.78
2022-19,3.21
2022-20,4.88
2022-21,12.18
2022-22,6.98
2022-23,4.06
2022-24,6.64
2022-25,5.37
2022-26,4.06
2022-27,0.0
2022-28,7.37
2022-29,8.09
2022-30,6.63
2022-31,12.42
2022-32,22.57
2022-33,10.46
2022-34,13.46
2022-35,9.09
2022-36,11.5
2022-37,16.31
2022-38,10.1
2022-39,21.15
2022-40,19.73
2022-41,9.81
2022-42,0.0
2022-43,0.0
2022-44,0.0
2022-45,0.0
2022-46,0.0
2022-47,14.71
2022-48,10.1
2022-49,8.46
2022-50,18.42
2022-51,10.63
2022-52,9.33
2023-0,14.04
2023-1,9.75
2023-2,13.44
2023-3,10.18
2023-4,22.46
2023-5,8.63
2023-6,8.05
2023-7,3.57
2023-8,5.8
2023-9,11.11
2023-10,8.22
2023-11,5.53
2023-12,5.19
2023-13,9.14
2023-14,2.93
2023-15,8.18
2023-16,8.19
2023-17,14.18
2023-18,7.89
2023-19,3.4
2023-20,13.46
2023-21,10.89
2023-22,7.86
2023-23,10.44
2023-24,6.5
2023-25,11.33
2023-26,7.81
2023-27,3.08
2023-28,6.14
2023-29,4.61
2023-30,17.07
2023-31,4.4
2023-32,7.41
2023-33,2.96
2023-34,7.35
2023-35,3.59
2023-36,2.96
2023-37,0.0
2023-38,0.0
2023-39,0.0
2023-40,0.0
