,hours
2019-28,2.07
2019-29,10.06
2019-30,6.19
2019-31,7.72
2019-32,4.72
2019-33,4.36
2019-34,6.06
2019-35,5.3
2019-36,6.02
2019-37,9.95
2019-38,9.38
2019-39,14.71
2019-40,10.34
2019-41,12.28
2019-42,12.99
2019-43,11.1
2019-44,10.77
2019-45,17.4
2019-46,11.85
2019-47,5.93
2019-48,8.9
2019-49,12.05
2019-50,7.82
2019-51,7.31
2019-52,2.04
2020-0,2.37
2020-1,9.53
2020-2,10.38
2020-3,11.74
2020-4,8.81
2020-5,15.73
2020-6,13.91
2020-7,12.81
2020-8,8.0
2020-9,6.84
2020-10,8.15
2020-11,9.66
2020-12,13.36
2020-13,14.47
2020-14,24.05
2020-15,11.66
2020-16,11.6
2020-17,11.78
2020-18,14.6
2020-19,9.75
2020-20,15.78
2020-21,15.89
2020-22,10.05
2020-23,12.68
2020-24,8.79
2020-25,8.93
2020-26,11.39
2020-27,9.34
2020-28,13.25
2020-29,14.44
2020-30,13.56
2020-31,13.63
2020-32,18.42
2020-33,14.52
2020-34,20.48
2020-35,29.76
2020-36,22.36
2020-37,30.12
2020-38,28.08
2020-39,24.92
2020-40,28.85
2020-41,20.21
2020-42,21.84
2020-43,23.02
2020-44,26.17
2020-45,8.35
2020-46,14.24
2020-47,16.09
2020-48,12.17
2020-49,16.57
2020-50,12.17
2020-51,9.65
2020-52,8.19
2021-0,4.12
2021-1,16.88
2021-2,16.49
2021-3,19.91
2021-4,9.91
2021-5,19.44
2021-6,16.38
2021-7,18.36
2021-8,24.24
2021-9,28.27
2021-10,20.62
2021-11,12.25
2021-12,11.9
2021-13,21.48
2021-14,29.71
2021-15,19.67
2021-16,14.61
2021-17,22.36
2021-18,16.94
2021-19,26.24
2021-20,18.31
2021-21,18.81
2021-22,22.67
2021-23,13.92
2021-24,15.67
2021-25,12.56
2021-26,12.77
2021-27,14.42
2021-28,14.02
2021-29,8.64
2021-30,15.29
2021-31,8.8
2021-32,17.19
2021-33,12.69
2021-34,15.15
2021-35,12.75
2021-36,15.04
2021-37,18.63
2021-38,15.22
2021-39,9.88
2021-40,16.41
2021-41,8.47
2021-42,8.07
2021-43,14.37
2021-44,10.48
2021-45,15.57
2021-46,6.02
2021-47,10.43
2021-48,11.0
2021-49,16.71
2021-50,9.99
2021-51,13.98
2021-52,7.36
2022-0,3.89
2022-1,8.89
2022-2,9.4
2022-3,13.23
2022-4,6.83
2022-5,17.14
2022-6,9.16
