,hours
2023-46,7.72
2023-47,8.3
2023-48,10.46
2023-49,22.44
2023-50,20.34
2023-51,25.62
2023-52,0.0
2024-0,17.35
2024-1,18.38
2024-2,29.74
2024-3,22.09
2024-4,18.74
2024-5,15.91
2024-6,17.95
2024-7,23.11
2024-8,18.58
2024-9,11.74
2024-10,3.55
2024-11,1.77
2024-12,16.08
2024-13,32.18
2024-14,14.3
2024-15,16.76
2024-16,9.3
2024-17,22.79
2024-18,20.06
2024-19,18.69
2024-20,21.15
2024-21,19.33
2024-22,23.2
2024-23,26.78
2024-24,11.84
2024-25,24.45
2024-26,20.01
2024-27,24.69
2024-28,13.27
2024-29,20.15
2024-30,12.37
2024-31,13.81
