,hours
2021-34,11.98
2021-35,7.92
2021-36,19.87
2021-37,17.53
2021-38,9.84
2021-39,13.17
2021-40,23.5
2021-41,7.97
2021-42,0.0
2021-43,0.0
2021-44,0.0
2021-45,11.78
2021-46,16.47
2021-47,40.55
2021-48,29.07
2021-49,22.77
2021-50,0.0
2021-51,19.06
2021-52,0.0
2022-0,14.99
2022-1,7.65
2022-2,6.23
2022-3,3.15
2022-4,14.76
2022-5,11.82
2022-6,0.0
2022-7,1.59
2022-8,0.0
2022-9,0.0
2022-10,0.37
2022-11,0.0
2022-12,3.99
2022-13,2.58
2022-14,3.64
2022-15,4.21
2022-16,4.6
2022-17,4.65
2022-18,4.02
2022-19,3.2
2022-20,2.09
2022-21,2.96
2022-22,8.4
2022-23,3.59
2022-24,3.8
2022-25,2.2
2022-26,5.34
2022-27,1.32
2022-28,3.79
2022-29,10.4
2022-30,0.0
2022-31,1.47
