,hours
2020-17,3.34
2020-18,11.7
2020-19,12.47
2020-20,16.25
2020-21,12.29
2020-22,10.77
2020-23,6.81
2020-24,6.23
2020-25,9.34
2020-26,6.56
2020-27,4.52
2020-28,9.46
2020-29,11.52
2020-30,21.17
2020-31,13.87
2020-32,14.13
2020-33,14.68
2020-34,7.89
2020-35,14.52
2020-36,12.03
2020-37,12.57
2020-38,9.91
2020-39,18.78
2020-40,20.98
2020-41,9.96
2020-42,10.2
2020-43,9.35
2020-44,8.45
2020-45,11.48
2020-46,10.77
2020-47,6.29
2020-48,6.32
2020-49,12.53
2020-50,7.22
2020-51,4.12
2020-52,6.71
2021-0,0.51
2021-1,9.17
2021-2,7.37
2021-3,17.57
2021-4,10.1
2021-5,6.57
2021-6,9.64
2021-7,16.12
2021-8,11.03
2021-9,9.18
2021-10,9.0
2021-11,10.61
2021-12,11.92
2021-13,17.33
2021-14,14.04
2021-15,9.02
2021-16,8.43
2021-17,8.75
2021-18,2.14
2021-19,6.07
2021-20,5.95
2021-21,9.48
2021-22,9.87
2021-23,7.6
2021-24,1.96
2021-25,7.05
2021-26,1.27
2021-27,6.37
2021-28,10.53
2021-29,14.73
2021-30,3.85
2021-31,10.13
2021-32,4.87
2021-33,6.58
2021-34,8.86
2021-35,1.52
2021-36,12.34
2021-37,5.76
2021-38,8.22
2021-39,8.13
2021-40,8.77
2021-41,6.08
2021-42,8.13
2021-43,14.21
2021-44,9.55
2021-45,2.52
2021-46,5.66
2021-47,7.57
2021-48,16.55
2021-49,9.08
2021-50,7.12
2021-51,3.08
2021-52,7.86
2022-0,0.0
2022-1,4.49
2022-2,10.59
2022-3,0.0
2022-4,4.32
2022-5,6.08
2022-6,2.36
2022-7,10.49
2022-8,3.38
2022-9,11.15
2022-10,15.55
2022-11,5.89
2022-12,4.44
2022-13,2.65
2022-14,7.44
2022-15,1.35
2022-16,11.9
2022-17,3.51
2022-18,5.02
2022-19,3.75
2022-20,5.92
2022-21,0.0
2022-22,7.64
2022-23,1.55
2022-24,7.8
2022-25,7.22
2022-26,7.61
2022-27,3.03
2022-28,4.61
2022-29,7.85
2022-30,4.8
2022-31,8.99
2022-32,6.36
2022-33,13.77
2022-34,5.1
2022-35,9.19
2022-36,4.54
2022-37,11.58
2022-38,6.88
2022-39,11.48
2022-40,13.96
2022-41,1.32
2022-42,4.71
2022-43,1.42
2022-44,3.16
2022-45,9.19
2022-46,7.09
2022-47,7.75
2022-48,6.96
2022-49,4.51
2022-50,6.52
2022-51,3.89
2022-52,5.48
2023-0,6.69
2023-1,8.88
2023-2,8.51
2023-3,2.7
2023-4,10.95
2023-5,0.0
2023-6,1.27
2023-7,11.55
2023-8,7.55
2023-9,4.7
2023-10,3.28
2023-11,2.78
2023-12,11.97
2023-13,6.46
2023-14,2.09
2023-15,9.95
2023-16,12.76
2023-17,2.95
2023-18,9.48
2023-19,9.23
2023-20,47.28
2023-21,6.77
2023-22,16.39
2023-23,18.48
2023-24,13.05
2023-25,19.1
2023-26,11.84
2023-27,4.49
2023-28,12.73
2023-29,15.93
2023-30,1.84
2023-31,4.48
2023-32,9.88
2023-33,0.62
2023-34,4.04
2023-35,6.49
2023-36,3.68
2023-37,6.15
2023-38,5.52
2023-39,2.33
2023-40,0.0
2023-41,3.35
2023-42,14.83
2023-43,8.16
2023-44,4.72
2023-45,9.67
2023-46,14.74
2023-47,6.88
2023-48,0.0
