,hours
2023-1,14.21
2023-2,16.88
2023-3,27.48
2023-4,38.67
2023-5,34.52
2023-6,31.73
2023-7,36.64
2023-8,28.5
2023-9,28.71
2023-10,20.94
2023-11,25.08
2023-12,18.43
2023-13,29.49
2023-14,25.97
2023-15,27.63
2023-16,41.31
2023-17,37.52
2023-18,20.15
2023-19,21.01
2023-20,59.97
2023-21,17.36
2023-22,23.48
2023-23,21.88
2023-24,25.79
2023-25,25.58
2023-26,29.0
2023-27,27.63
2023-28,40.99
2023-29,20.54
2023-30,20.37
2023-31,35.47
2023-32,27.35
2023-33,31.14
2023-34,44.79
2023-35,0.0
2023-36,9.69
2023-37,21.68
2023-38,40.45
2023-39,16.6
2023-40,24.21
2023-41,18.43
2023-42,18.83
2023-43,10.87
2023-44,0.0
2023-45,3.61
2023-46,22.54
2023-47,25.14
2023-48,15.28
2023-49,31.8
2023-50,12.54
2023-51,21.7
2023-52,1.72
2024-0,4.55
2024-1,15.16
2024-2,26.17
2024-3,12.85
2024-4,15.55
2024-5,11.53
2024-6,22.34
2024-7,21.18
2024-8,2.27
2024-9,4.21
2024-10,3.83
2024-11,5.99
2024-12,11.35
2024-13,17.66
2024-14,17.91
2024-15,24.49
2024-16,8.65
2024-17,14.95
2024-18,14.45
2024-19,8.15
2024-20,0.0
2024-21,1.08
2024-22,14.12
2024-23,6.65
2024-24,13.4
2024-25,6.91
2024-26,22.79
2024-27,26.81
2024-28,9.93
2024-29,0.0
2024-30,11.11
2024-31,28.85
2024-32,25.12
2024-33,23.38
2024-34,42.32
2024-35,23.83
2024-36,23.67
2024-37,8.83
2024-38,6.74
2024-39,18.86
2024-40,36.35
2024-41,35.35
2024-42,42.52
2024-43,17.31
2024-44,11.15
2024-45,19.1
2024-46,27.04
2024-47,17.98
2024-48,26.17
2024-49,5.36
2024-50,0.0
2024-51,13.36
2024-52,5.8
2025-0,7.41
2025-1,15.92
2025-2,10.93
2025-3,11.41
2025-4,18.68
2025-5,17.54
2025-6,12.94
2025-7,27.0
2025-8,24.17
2025-9,20.51
2025-10,17.82
2025-11,17.82
2025-12,13.96
2025-13,5.7
2025-14,0.0
2025-15,3.37
2025-16,11.36
2025-17,20.82
2025-18,19.11
2025-19,34.72
2025-20,28.49
2025-21,31.68
2025-22,3.03
