,hours
2018-32,1.0
2018-33,2.0
2018-34,1.99
2018-35,0.0
2018-36,2.02
2018-37,3.72
2018-38,1.0
2018-39,1.93
2018-40,2.41
2018-41,3.97
2018-42,3.11
2018-43,0.0
2018-44,2.04
2018-45,4.63
2018-46,9.11
2018-47,9.36
2018-48,6.15
2018-49,11.68
2018-50,19.73
2018-51,5.49
2018-52,5.74
2019-0,6.19
2019-1,6.15
2019-2,5.44
2019-3,10.13
2019-4,2.78
2019-5,6.01
2019-6,5.24
2019-7,4.33
2019-8,4.15
2019-9,1.95
2019-10,6.07
2019-11,7.25
2019-12,7.42
2019-13,3.84
2019-14,8.31
2019-15,5.7
2019-16,5.94
2019-17,5.3
2019-18,5.21
2019-19,1.01
2019-20,19.08
2019-21,15.57
2019-22,10.53
2019-23,11.8
2019-24,11.92
2019-25,13.4
2019-26,9.74
2019-27,4.04
2019-28,4.55
2019-29,11.89
2019-30,5.43
2019-31,9.64
2019-32,11.61
2019-33,17.05
2019-34,8.45
2019-35,13.37
2019-36,1.29
2019-37,0.44
2019-38,0.0
2019-39,2.45
2019-40,6.49
2019-41,9.42
2019-42,8.29
2019-43,9.67
2019-44,2.82
2019-45,9.51
2019-46,11.6
2019-47,7.64
2019-48,13.4
2019-49,9.67
2019-50,10.52
2019-51,4.51
2019-52,0.0
2020-0,3.53
2020-1,7.24
2020-2,13.42
2020-3,14.15
2020-4,14.29
2020-5,9.04
2020-6,16.64
2020-7,6.89
2020-8,0.0
2020-9,7.74
2020-10,2.04
2020-11,17.92
2020-12,11.2
2020-13,10.94
2020-14,10.71
2020-15,9.24
2020-16,9.92
2020-17,8.52
2020-18,9.36
2020-19,6.89
2020-20,7.41
2020-21,3.38
2020-22,9.69
2020-23,7.77
2020-24,1.38
2020-25,3.81
2020-26,0.0
2020-27,12.04
2020-28,2.81
2020-29,9.71
2020-30,1.92
2020-31,0.0
2020-32,2.25
2020-33,10.51
2020-34,11.84
2020-35,4.53
2020-36,6.38
2020-37,17.62
2020-38,17.29
2020-39,11.54
2020-40,1.66
2020-41,18.85
2020-42,4.31
2020-43,0.0
2020-44,0.0
2020-45,1.0
2020-46,12.74
2020-47,10.6
2020-48,10.28
2020-49,5.57
2020-50,9.4
2020-51,12.52
2020-52,10.2
2021-0,3.92
2021-1,9.91
2021-2,2.26
2021-3,0.0
2021-4,5.38
2021-5,0.0
2021-6,6.51
2021-7,4.77
2021-8,9.2
2021-9,0.0
2021-10,3.04
2021-11,4.52
2021-12,4.24
2021-13,7.78
2021-14,2.34
2021-15,5.65
2021-16,0.0
2021-17,5.75
2021-18,11.84
2021-19,6.73
2021-20,7.88
2021-21,2.81
2021-22,0.0
2021-23,0.0
2021-24,0.33
2021-25,0.0
2021-26,0.0
2021-27,0.0
2021-28,0.0
2021-29,0.0
2021-30,2.71
2021-31,7.29
2021-32,7.37
2021-33,5.41
2021-34,9.85
2021-35,14.82
2021-36,6.87
2021-37,8.14
2021-38,4.39
2021-39,0.0
2021-40,5.38
2021-41,3.74
2021-42,7.6
2021-43,13.06
2021-44,10.48
2021-45,2.16
2021-46,25.99
2021-47,17.04
2021-48,11.31
2021-49,13.31
2021-50,1.48
2021-51,10.32
2021-52,3.01
2022-0,0.0
2022-1,0.0
2022-2,0.0
2022-3,0.0
2022-4,18.2
2022-5,0.0
2022-6,3.37
2022-7,0.0
2022-8,4.22
2022-9,0.0
2022-10,4.86
2022-11,1.02
2022-12,3.02
2022-13,3.64
2022-14,2.42
2022-15,5.1
2022-16,1.97
2022-17,0.0
2022-18,0.0
2022-19,0.0
2022-20,3.75
2022-21,0.0
2022-22,3.1
2022-23,6.86
2022-24,4.55
2022-25,3.12
2022-26,7.23
2022-27,8.73
2022-28,4.55
2022-29,3.7
2022-30,3.36
2022-31,0.0
2022-32,0.0
2022-33,2.92
2022-34,0.0
2022-35,0.0
2022-36,0.0
2022-37,4.75
2022-38,0.0
2022-39,4.2
2022-40,1.03
2022-41,0.0
2022-42,0.0
2022-43,3.35
2022-44,0.0
2022-45,4.81
2022-46,29.15
2022-47,11.4
2022-48,0.0
2022-49,4.28
2022-50,1.21
2022-51,4.05
2022-52,2.52
2023-0,1.57
2023-1,0.0
2023-2,0.0
2023-3,0.0
2023-4,0.0
2023-5,0.0
2023-6,10.68
2023-7,1.1
2023-8,2.5
2023-9,9.97
2023-10,7.76
2023-11,6.76
2023-12,6.19
2023-13,5.66
2023-14,7.58
2023-15,8.41
2023-16,10.47
2023-17,1.27
2023-18,0.0
2023-19,0.0
2023-20,0.0
2023-21,0.0
2023-22,0.0
2023-23,4.76
2023-24,4.27
2023-25,2.52
2023-26,8.57
2023-27,6.11
2023-28,5.94
2023-29,22.32
2023-30,6.15
2023-31,7.67
2023-32,1.04
2023-33,2.71
2023-34,1.19
2023-35,5.93
2023-36,0.0
2023-37,4.14
2023-38,5.17
2023-39,0.0
2023-40,0.0
