,hours
2023-30,11.0
2023-31,13.53
2023-32,2.39
2023-33,9.89
2023-34,11.39
2023-35,11.42
2023-36,15.34
2023-37,14.81
2023-38,12.35
2023-39,13.06
2023-40,11.44
2023-41,15.59
2023-42,19.46
2023-43,13.49
2023-44,11.09
2023-45,16.86
2023-46,12.06
2023-47,15.1
2023-48,16.79
2023-49,6.02
2023-50,0.0
2023-51,0.31
2023-52,0.0
2024-0,14.52
2024-1,14.19
2024-2,18.02
2024-3,14.51
2024-4,19.72
2024-5,16.96
2024-6,12.84
2024-7,14.34
2024-8,11.7
2024-9,12.96
2024-10,13.44
2024-11,12.96
2024-12,13.23
2024-13,12.64
2024-14,14.6
2024-15,15.61
2024-16,9.82
2024-17,8.35
2024-18,3.25
2024-19,6.38
2024-20,9.41
2024-21,17.82
2024-22,9.12
2024-23,5.19
