,hours
2017-47,1.52
2017-48,0.0
2017-49,0.0
2017-50,0.0
2017-51,2.08
2017-52,0.11
2018-0,0.57
2018-1,1.25
2018-2,1.19
2018-3,1.42
2018-4,1.22
2018-5,1.46
2018-6,1.27
2018-7,1.18
2018-8,1.38
2018-9,1.06
2018-10,1.27
2018-11,3.48
2018-12,2.25
2018-13,1.32
2018-14,1.4
2018-15,1.84
2018-16,1.07
2018-17,1.03
2018-18,1.21
2018-19,1.22
2018-20,1.56
2018-21,1.24
2018-22,0.13
2018-23,1.47
2018-24,0.96
2018-25,1.3
2018-26,1.41
2018-27,1.06
2018-28,1.48
2018-29,1.21
2018-30,1.08
2018-31,1.72
2018-32,1.13
2018-33,1.21
2018-34,0.99
2018-35,1.05
2018-36,1.05
2018-37,1.13
2018-38,1.03
2018-39,1.01
2018-40,1.19
2018-41,1.0
2018-42,1.19
2018-43,1.03
2018-44,1.04
2018-45,1.03
2018-46,1.08
2018-47,0.98
2018-48,1.01
2018-49,0.0
2018-50,1.11
2018-51,0.23
2018-52,1.55
2019-0,0.0
2019-1,1.57
2019-2,0.88
2019-3,0.99
2019-4,1.33
2019-5,2.42
2019-6,1.35
2019-7,1.5
2019-8,1.28
2019-9,1.44
2019-10,0.0
2019-11,6.77
2019-12,1.48
2019-13,1.1
2019-14,0.91
2019-15,1.54
2019-16,1.05
2019-17,1.01
2019-18,0.98
2019-19,0.87
2019-20,0.5
2019-21,0.0
2019-22,1.01
2019-23,1.01
2019-24,0.93
2019-25,1.22
2019-26,0.0
2019-27,0.99
2019-28,0.99
2019-29,1.04
2019-30,1.0
2019-31,1.01
2019-32,1.23
2019-33,0.99
2019-34,1.0
2019-35,0.99
2019-36,1.03
2019-37,0.0
2019-38,1.46
2019-39,1.03
2019-40,1.08
2019-41,2.07
2019-42,2.05
2019-43,3.37
2019-44,1.08
2019-45,1.06
2019-46,0.26
2019-47,1.02
2019-48,1.03
2019-49,0.93
2019-50,1.44
2019-51,1.17
2019-52,0.21
2020-0,0.11
2020-1,2.78
2020-2,1.12
2020-3,0.0
2020-4,2.02
2020-5,2.05
2020-6,1.51
2020-7,0.99
2020-8,1.67
2020-9,0.88
2020-10,2.54
2020-11,1.64
2020-12,4.62
2020-13,2.18
2020-14,3.42
2020-15,2.93
2020-16,6.14
2020-17,6.19
2020-18,4.31
2020-19,3.97
2020-20,9.27
2020-21,8.66
2020-22,5.58
2020-23,1.39
2020-24,5.69
2020-25,0.94
2020-26,3.08
2020-27,5.44
2020-28,4.44
2020-29,3.2
2020-30,1.31
2020-31,1.07
2020-32,7.95
2020-33,4.82
2020-34,6.24
2020-35,3.9
2020-36,10.46
2020-37,5.43
2020-38,1.66
2020-39,4.14
2020-40,5.39
2020-41,8.62
2020-42,7.15
2020-43,7.56
2020-44,7.95
2020-45,4.52
2020-46,7.21
2020-47,4.1
2020-48,9.43
2020-49,10.62
2020-50,5.44
2020-51,3.46
2020-52,3.41
2021-0,1.01
2021-1,9.38
2021-2,6.99
2021-3,7.89
2021-4,2.6
2021-5,7.7
2021-6,8.75
2021-7,5.58
2021-8,7.91
2021-9,10.91
2021-10,5.44
2021-11,10.54
2021-12,5.89
2021-13,14.47
2021-14,6.9
2021-15,6.87
2021-16,7.7
2021-17,12.28
2021-18,13.17
2021-19,7.5
2021-20,7.97
2021-21,10.5
2021-22,11.32
2021-23,4.9
2021-24,5.34
2021-25,7.28
2021-26,5.38
2021-27,15.23
2021-28,10.22
2021-29,3.73
2021-30,13.63
2021-31,12.47
2021-32,9.98
2021-33,6.37
2021-34,11.15
2021-35,4.34
2021-36,5.98
2021-37,9.71
2021-38,7.39
2021-39,10.12
2021-40,4.99
2021-41,8.51
2021-42,10.39
2021-43,8.23
2021-44,5.19
