,hours
2024-44,0.49
2024-45,9.13
2024-46,12.09
2024-47,13.4
2024-48,15.29
2024-49,14.61
2024-50,19.94
2024-51,28.91
2024-52,13.96
2025-0,17.65
2025-1,35.77
2025-2,24.28
2025-3,26.89
2025-4,22.29
2025-5,41.85
2025-6,52.49
2025-7,49.52
2025-8,26.97
2025-9,14.97
2025-10,29.05
2025-11,34.52
2025-12,31.07
2025-13,26.42
2025-14,18.39
2025-15,20.71
2025-16,30.73
2025-17,27.78
2025-18,24.84
2025-19,28.84
2025-20,29.1
2025-21,30.34
2025-22,24.52
2025-23,37.58
2025-24,29.74
2025-25,20.65
2025-26,21.62
2025-27,26.66
2025-28,21.02
2025-29,19.28
2025-30,25.27
2025-31,22.49
2025-32,39.63
2025-33,21.55
2025-34,17.64
2025-35,17.53
2025-36,23.16
2025-37,18.83
2025-38,23.86
2025-39,28.76
2025-40,34.71
2025-41,32.41
2025-42,20.34
2025-43,23.76
2025-44,30.82
2025-45,23.01
2025-46,20.42
2025-47,19.37
2025-48,15.62
2025-49,7.85
2025-50,20.48
2025-51,14.68
2025-52,13.23
2026-0,0.0
