,hours
2018-37,3.09
2018-38,2.12
2018-39,0.75
2018-40,4.01
2018-41,2.92
2018-42,3.93
2018-43,3.65
2018-44,5.58
2018-45,5.55
2018-46,5.42
2018-47,4.4
2018-48,7.26
2018-49,5.22
2018-50,5.36
2018-51,4.32
2018-52,0.9
2019-0,4.13
2019-1,4.82
2019-2,3.23
2019-3,5.76
2019-4,5.11
2019-5,2.66
2019-6,6.09
2019-7,3.79
2019-8,3.82
2019-9,5.3
2019-10,1.85
2019-11,2.07
2019-12,4.53
2019-13,6.94
2019-14,6.47
2019-15,8.63
2019-16,7.27
2019-17,4.28
2019-18,4.46
2019-19,5.0
2019-20,3.15
2019-21,5.28
2019-22,4.14
2019-23,6.61
2019-24,4.41
2019-25,4.21
2019-26,3.4
2019-27,3.34
2019-28,12.24
2019-29,15.26
2019-30,15.67
2019-31,12.83
2019-32,9.44
2019-33,8.36
2019-34,5.76
2019-35,9.36
2019-36,9.47
2019-37,5.95
2019-38,2.85
2019-39,4.7
2019-40,6.33
2019-41,8.85
2019-42,10.3
2019-43,11.45
2019-44,3.94
2019-45,9.3
2019-46,3.96
2019-47,4.07
2019-48,7.95
2019-49,6.65
2019-50,6.69
2019-51,6.11
2019-52,2.71
2020-0,6.45
2020-1,7.72
2020-2,7.0
2020-3,9.34
2020-4,16.06
2020-5,22.61
2020-6,25.57
2020-7,7.36
2020-8,26.87
2020-9,19.11
2020-10,17.86
2020-11,23.48
2020-12,13.14
2020-13,15.56
2020-14,11.71
2020-15,12.4
2020-16,23.59
2020-17,23.16
2020-18,25.55
2020-19,19.46
2020-20,23.63
2020-21,23.28
2020-22,19.88
2020-23,9.87
2020-24,7.53
2020-25,10.94
2020-26,14.94
2020-27,14.31
2020-28,12.85
2020-29,13.8
2020-30,14.47
2020-31,13.67
2020-32,16.07
2020-33,12.01
2020-34,12.66
2020-35,20.46
2020-36,12.25
2020-37,8.0
2020-38,22.42
2020-39,14.44
2020-40,15.17
2020-41,11.45
2020-42,7.39
2020-43,16.88
2020-44,22.27
2020-45,23.36
2020-46,9.72
2020-47,15.87
2020-48,13.89
2020-49,11.65
2020-50,14.89
2020-51,14.73
2020-52,10.85
2021-0,7.57
2021-1,19.09
2021-2,15.96
2021-3,16.1
2021-4,14.23
2021-5,17.0
2021-6,12.2
2021-7,15.55
2021-8,11.31
2021-9,3.56
2021-10,15.21
2021-11,14.68
2021-12,16.54
2021-13,8.83
2021-14,21.32
2021-15,14.47
2021-16,6.12
2021-17,11.9
2021-18,15.44
2021-19,16.82
2021-20,16.47
2021-21,18.63
2021-22,17.08
2021-23,18.84
2021-24,17.56
2021-25,11.28
2021-26,21.16
2021-27,15.57
2021-28,6.46
2021-29,11.1
2021-30,8.16
2021-31,21.08
2021-32,14.11
2021-33,18.6
2021-34,19.95
2021-35,19.67
2021-36,18.9
2021-37,16.83
2021-38,18.89
2021-39,17.28
2021-40,17.7
2021-41,11.84
2021-42,22.98
2021-43,15.23
2021-44,21.11
2021-45,18.23
2021-46,20.84
2021-47,24.7
2021-48,21.58
2021-49,18.48
2021-50,18.8
2021-51,14.78
2021-52,19.27
2022-0,3.41
2022-1,18.04
2022-2,17.32
2022-3,13.94
2022-4,24.6
2022-5,14.78
2022-6,20.12
2022-7,13.37
2022-8,10.22
2022-9,0.0
2022-10,1.05
2022-11,8.35
2022-12,14.62
2022-13,14.58
2022-14,24.61
2022-15,15.64
2022-16,20.24
2022-17,17.92
2022-18,26.79
2022-19,17.23
2022-20,19.09
2022-21,13.51
2022-22,18.11
2022-23,15.32
2022-24,17.58
2022-25,21.88
2022-26,17.29
2022-27,12.99
2022-28,19.61
2022-29,12.24
2022-30,13.06
2022-31,22.91
2022-32,18.3
2022-33,23.08
2022-34,21.16
2022-35,19.06
2022-36,26.09
2022-37,24.01
2022-38,19.2
2022-39,16.55
2022-40,20.57
2022-41,13.61
2022-42,15.2
2022-43,6.64
2022-44,17.9
2022-45,15.08
2022-46,12.19
2022-47,18.9
2022-48,14.6
2022-49,21.16
2022-50,12.65
2022-51,14.32
2022-52,22.36
2023-0,16.17
2023-1,16.58
2023-2,26.91
2023-3,25.96
2023-4,14.91
2023-5,23.66
2023-6,20.44
2023-7,17.2
2023-8,22.52
2023-9,21.43
2023-10,14.81
2023-11,19.15
2023-12,17.82
2023-13,21.7
2023-14,18.38
2023-15,21.17
2023-16,19.12
2023-17,11.4
2023-18,13.01
2023-19,15.52
2023-20,20.27
2023-21,16.48
2023-22,20.68
2023-23,22.64
2023-24,24.52
2023-25,20.94
2023-26,23.84
2023-27,21.09
2023-28,22.78
2023-29,14.29
2023-30,20.55
2023-31,28.12
2023-32,27.09
2023-33,7.26
2023-34,18.43
2023-35,26.51
2023-36,18.88
2023-37,22.62
2023-38,25.8
2023-39,20.46
2023-40,26.03
2023-41,15.96
2023-42,25.64
2023-43,14.45
2023-44,19.92
2023-45,22.87
2023-46,20.41
2023-47,21.35
2023-48,21.18
2023-49,24.12
2023-50,9.44
2023-51,17.39
2023-52,5.33
2024-0,25.09
2024-1,9.11
2024-2,14.7
2024-3,32.01
2024-4,15.96
2024-5,28.98
2024-6,15.11
2024-7,18.81
2024-8,19.35
2024-9,19.55
2024-10,13.4
2024-11,19.25
2024-12,19.86
2024-13,18.98
2024-14,20.38
2024-15,25.36
2024-16,18.19
2024-17,31.21
2024-18,40.66
2024-19,32.56
2024-20,15.66
2024-21,24.5
2024-22,15.38
2024-23,18.0
2024-24,23.62
2024-25,17.52
2024-26,16.99
2024-27,22.51
2024-28,21.0
2024-29,49.69
2024-30,18.15
2024-31,18.44
2024-32,29.11
2024-33,27.81
2024-34,23.6
2024-35,26.77
2024-36,15.67
2024-37,34.36
2024-38,23.02
2024-39,23.22
2024-40,26.08
2024-41,25.84
2024-42,24.19
2024-43,22.79
2024-44,22.59
2024-45,7.72
2024-46,11.82
2024-47,22.96
2024-48,28.28
2024-49,18.05
2024-50,6.19
2024-51,13.24
2024-52,5.79
2025-0,23.63
2025-1,1.3
2025-2,15.06
2025-3,0.0
2025-4,0.0
2025-5,9.4
2025-6,20.97
2025-7,29.66
2025-8,23.1
2025-9,19.54
2025-10,16.62
2025-11,24.37
