,hours
2018-18,1.23
2018-19,0.0
2018-20,1.6
2018-21,0.0
2018-22,0.0
2018-23,0.0
2018-24,1.12
2018-25,0.0
2018-26,1.08
2018-27,0.0
2018-28,0.0
2018-29,0.0
2018-30,0.0
2018-31,0.0
2018-32,0.0
2018-33,1.06
2018-34,0.0
2018-35,0.0
2018-36,0.0
2018-37,0.0
2018-38,0.0
2018-39,0.0
2018-40,0.0
2018-41,0.0
2018-42,0.0
2018-43,0.0
2018-44,1.11
2018-45,0.0
2018-46,0.0
2018-47,1.18
2018-48,1.97
2018-49,0.0
2018-50,1.36
2018-51,0.0
2018-52,0.0
2019-0,0.0
2019-1,1.18
2019-2,1.94
2019-3,0.0
2019-4,0.0
2019-5,0.0
2019-6,0.0
2019-7,1.99
2019-8,0.0
2019-9,0.0
2019-10,1.21
2019-11,0.0
2019-12,1.02
2019-13,0.0
2019-14,0.0
2019-15,0.0
2019-16,0.0
2019-17,0.0
2019-18,0.0
2019-19,0.0
2019-20,6.43
2019-21,2.1
2019-22,9.16
2019-23,8.09
2019-24,3.26
2019-25,5.72
2019-26,4.86
2019-27,5.31
2019-28,2.02
2019-29,2.8
2019-30,4.37
2019-31,4.84
2019-32,0.0
2019-33,0.0
2019-34,5.13
2019-35,4.68
2019-36,6.82
2019-37,5.9
2019-38,10.37
2019-39,3.59
2019-40,5.01
2019-41,3.17
2019-42,6.54
2019-43,11.54
2019-44,4.95
2019-45,3.1
2019-46,6.3
2019-47,9.72
2019-48,7.89
2019-49,7.6
2019-50,4.44
2019-51,3.19
2019-52,6.71
2020-0,3.12
2020-1,4.96
2020-2,6.25
2020-3,6.11
2020-4,5.63
2020-5,7.42
2020-6,6.99
2020-7,2.44
2020-8,4.8
2020-9,6.77
2020-10,7.19
2020-11,3.56
2020-12,6.48
2020-13,6.25
2020-14,4.46
2020-15,4.02
2020-16,7.89
2020-17,6.44
2020-18,4.85
2020-19,6.95
2020-20,3.38
2020-21,3.11
2020-22,4.95
2020-23,5.23
2020-24,2.1
2020-25,8.31
2020-26,1.6
2020-27,5.34
2020-28,4.63
2020-29,2.32
2020-30,2.71
2020-31,6.0
2020-32,3.14
2020-33,4.43
2020-34,4.85
2020-35,2.14
2020-36,3.22
2020-37,9.44
2020-38,4.57
2020-39,0.92
2020-40,1.03
2020-41,2.84
2020-42,4.44
2020-43,3.2
2020-44,9.3
2020-45,5.57
2020-46,6.95
2020-47,4.95
2020-48,2.89
2020-49,2.94
2020-50,10.24
2020-51,6.32
2020-52,8.91
2021-0,0.0
2021-1,13.42
2021-2,13.23
2021-3,10.01
2021-4,13.63
2021-5,1.67
2021-6,4.31
2021-7,3.58
2021-8,13.63
2021-9,7.58
2021-10,6.02
2021-11,3.93
2021-12,7.39
2021-13,6.16
2021-14,4.61
2021-15,5.42
2021-16,6.19
2021-17,13.03
2021-18,9.9
2021-19,4.83
2021-20,6.75
2021-21,7.37
2021-22,4.88
2021-23,4.36
2021-24,10.37
2021-25,10.19
2021-26,3.98
2021-27,2.39
2021-28,5.36
2021-29,4.8
2021-30,3.33
2021-31,7.85
2021-32,2.05
2021-33,6.59
2021-34,6.68
2021-35,8.67
2021-36,11.87
2021-37,9.97
2021-38,3.04
2021-39,3.02
2021-40,1.03
2021-41,7.81
2021-42,2.98
2021-43,2.32
2021-44,6.96
2021-45,3.64
2021-46,6.94
2021-47,3.75
2021-48,3.91
2021-49,3.12
2021-50,2.54
2021-51,3.96
2021-52,4.6
2022-0,0.0
2022-1,11.39
2022-2,8.13
2022-3,4.83
2022-4,0.0
2022-5,1.0
2022-6,4.37
2022-7,3.68
2022-8,6.11
2022-9,6.56
2022-10,3.96
2022-11,2.67
2022-12,5.46
2022-13,11.51
2022-14,8.83
2022-15,11.86
2022-16,8.15
2022-17,9.07
2022-18,7.85
2022-19,0.97
2022-20,0.67
2022-21,0.88
2022-22,0.88
2022-23,2.09
2022-24,3.17
2022-25,2.52
2022-26,2.93
2022-27,1.16
2022-28,4.51
2022-29,1.8
2022-30,7.69
2022-31,3.71
2022-32,0.0
2022-33,4.79
2022-34,11.58
2022-35,8.64
2022-36,3.64
2022-37,3.44
2022-38,0.0
2022-39,0.0
2022-40,0.0
2022-41,0.64
2022-42,0.0
2022-43,0.0
2022-44,2.1
2022-45,2.79
2022-46,4.64
2022-47,2.72
2022-48,3.26
2022-49,6.51
2022-50,8.31
2022-51,2.79
2022-52,5.69
2023-0,6.05
2023-1,0.0
2023-2,3.33
2023-3,3.91
2023-4,3.54
2023-5,0.0
2023-6,0.0
2023-7,0.0
2023-8,0.58
2023-9,5.44
2023-10,0.98
2023-11,5.08
2023-12,3.62
2023-13,0.0
2023-14,0.0
2023-15,1.26
2023-16,3.82
2023-17,3.43
2023-18,0.0
2023-19,10.43
2023-20,3.72
2023-21,5.99
2023-22,5.16
2023-23,0.0
2023-24,2.06
2023-25,0.0
2023-26,4.84
2023-27,4.52
2023-28,2.6
2023-29,0.0
2023-30,3.82
2023-31,2.6
2023-32,2.54
2023-33,1.67
2023-34,3.09
2023-35,2.78
2023-36,3.05
2023-37,1.22
2023-38,3.22
2023-39,6.03
2023-40,3.28
2023-41,1.31
2023-42,1.95
2023-43,1.05
2023-44,1.59
2023-45,5.75
2023-46,0.0
2023-47,7.16
2023-48,6.64
2023-49,4.1
2023-50,6.0
2023-51,7.8
2023-52,2.48
2024-0,1.06
2024-1,8.36
