,hours
2019-49,1.02
2019-50,6.39
2019-51,7.91
2019-52,2.12
2020-0,6.05
2020-1,8.56
2020-2,12.68
2020-3,7.78
2020-4,9.62
2020-5,4.52
2020-6,7.45
2020-7,17.03
2020-8,7.4
2020-9,5.99
2020-10,6.14
2020-11,3.97
2020-12,5.92
2020-13,9.31
2020-14,8.38
2020-15,16.79
2020-16,10.51
2020-17,21.94
2020-18,11.25
2020-19,14.73
2020-20,13.0
2020-21,16.68
2020-22,15.61
2020-23,4.12
2020-24,11.0
2020-25,3.88
2020-26,6.89
2020-27,5.82
2020-28,3.93
2020-29,3.38
2020-30,2.14
2020-31,13.45
2020-32,24.26
2020-33,6.09
2020-34,14.46
2020-35,9.72
2020-36,11.77
2020-37,21.57
2020-38,16.54
2020-39,16.05
2020-40,12.15
2020-41,26.56
2020-42,10.56
2020-43,18.67
2020-44,10.3
2020-45,11.22
2020-46,12.0
2020-47,6.01
2020-48,9.72
2020-49,15.48
2020-50,8.22
2020-51,9.22
2020-52,1.91
2021-0,1.09
2021-1,16.18
2021-2,18.95
2021-3,15.94
2021-4,25.66
2021-5,17.24
2021-6,8.31
2021-7,7.43
2021-8,17.87
2021-9,17.81
2021-10,42.14
2021-11,34.74
2021-12,25.4
2021-13,34.37
2021-14,20.91
2021-15,32.98
2021-16,24.01
2021-17,18.97
2021-18,16.8
2021-19,21.47
2021-20,20.42
2021-21,16.13
2021-22,18.6
2021-23,21.06
2021-24,27.88
2021-25,22.23
2021-26,18.79
2021-27,17.06
2021-28,32.37
2021-29,21.53
2021-30,13.59
2021-31,20.92
2021-32,17.45
2021-33,27.73
2021-34,13.43
2021-35,17.47
2021-36,13.68
2021-37,16.19
2021-38,4.87
2021-39,12.82
2021-40,12.06
2021-41,4.66
2021-42,4.56
2021-43,9.18
2021-44,3.72
2021-45,17.38
2021-46,8.3
2021-47,9.38
2021-48,8.56
2021-49,7.23
2021-50,10.88
2021-51,10.94
2021-52,6.82
2022-0,2.57
2022-1,3.5
2022-2,20.05
2022-3,6.22
2022-4,10.36
2022-5,11.62
2022-6,12.19
2022-7,12.94
2022-8,11.04
2022-9,11.78
2022-10,20.8
2022-11,13.06
2022-12,14.89
2022-13,10.51
2022-14,14.35
2022-15,10.38
2022-16,10.43
2022-17,15.09
2022-18,27.7
2022-19,18.61
2022-20,6.78
2022-21,6.38
2022-22,13.02
2022-23,9.43
2022-24,8.41
2022-25,7.01
2022-26,6.51
2022-27,11.56
2022-28,4.77
2022-29,17.83
2022-30,14.64
2022-31,13.29
2022-32,11.74
2022-33,14.98
2022-34,8.85
2022-35,14.42
2022-36,17.88
2022-37,25.29
2022-38,8.76
2022-39,13.96
2022-40,9.9
2022-41,12.55
2022-42,18.24
2022-43,26.84
2022-44,11.54
2022-45,6.75
2022-46,9.63
2022-47,10.34
2022-48,15.69
2022-49,18.84
2022-50,5.44
2022-51,9.92
2022-52,9.48
2023-0,17.09
2023-1,19.52
2023-2,9.56
2023-3,16.44
2023-4,16.3
2023-5,20.12
2023-6,30.37
2023-7,26.48
2023-8,21.73
2023-9,26.52
2023-10,18.13
2023-11,16.04
2023-12,30.24
2023-13,17.7
2023-14,9.92
2023-15,9.38
2023-16,3.26
2023-17,16.86
2023-18,10.38
2023-19,10.72
2023-20,57.69
2023-21,19.3
2023-22,19.11
2023-23,6.63
2023-24,13.01
2023-25,13.68
2023-26,12.16
2023-27,6.77
2023-28,6.7
2023-29,6.46
2023-30,6.41
2023-31,10.6
2023-32,13.14
2023-33,24.64
2023-34,64.54
2023-35,14.54
2023-36,10.29
2023-37,15.09
2023-38,27.75
2023-39,19.58
2023-40,11.28
2023-41,14.36
2023-42,23.04
2023-43,16.68
2023-44,17.26
2023-45,22.66
2023-46,11.38
2023-47,14.66
2023-48,9.93
2023-49,39.43
2023-50,23.14
2023-51,7.35
2023-52,0.0
2024-0,7.11
2024-1,11.49
2024-2,7.05
2024-3,29.11
2024-4,14.94
2024-5,6.32
2024-6,20.92
2024-7,16.59
2024-8,6.06
2024-9,15.96
2024-10,14.34
2024-11,10.56
2024-12,16.81
2024-13,5.89
2024-14,15.79
2024-15,8.28
2024-16,4.48
2024-17,8.68
2024-18,13.96
2024-19,8.73
2024-20,19.82
2024-21,18.92
2024-22,8.66
2024-23,13.83
2024-24,30.77
2024-25,26.49
2024-26,16.35
2024-27,17.0
2024-28,24.87
2024-29,12.63
2024-30,13.67
2024-31,12.4
2024-32,9.44
2024-33,30.11
2024-34,17.9
2024-35,22.17
2024-36,13.92
2024-37,15.32
2024-38,8.68
2024-39,16.37
2024-40,14.75
2024-41,3.61
