,hours
2020-0,2.3
2020-1,7.32
2020-2,8.1
2020-3,12.73
2020-4,14.85
2020-5,7.21
2020-6,13.58
2020-7,13.62
2020-8,14.43
2020-9,15.63
2020-10,2.12
2020-11,19.81
2020-12,21.82
2020-13,18.97
2020-14,7.77
2020-15,17.7
2020-16,16.22
2020-17,11.93
2020-18,24.29
2020-19,14.28
2020-20,5.82
2020-21,19.79
2020-22,11.19
2020-23,23.45
2020-24,12.66
2020-25,14.83
2020-26,9.52
2020-27,22.34
2020-28,8.45
2020-29,10.64
2020-30,4.75
2020-31,4.74
2020-32,26.32
2020-33,12.14
2020-34,11.91
2020-35,5.77
2020-36,18.16
2020-37,5.97
2020-38,6.69
2020-39,9.77
2020-40,12.52
2020-41,3.64
2020-42,1.76
2020-43,7.31
2020-44,14.0
2020-45,8.96
2020-46,7.9
2020-47,8.13
2020-48,0.0
2020-49,8.19
2020-50,7.57
2020-51,4.64
2020-52,3.1
2021-0,2.11
2021-1,9.85
2021-2,19.02
2021-3,21.11
2021-4,13.93
2021-5,8.3
2021-6,6.6
2021-7,1.31
2021-8,15.8
2021-9,9.38
2021-10,34.59
2021-11,9.49
2021-12,11.39
2021-13,5.28
2021-14,21.62
2021-15,5.73
2021-16,9.37
2021-17,15.47
2021-18,23.14
2021-19,21.81
2021-20,6.63
2021-21,12.76
2021-22,10.02
2021-23,16.35
2021-24,5.82
2021-25,13.2
2021-26,15.72
2021-27,0.0
2021-28,16.93
2021-29,21.15
2021-30,9.35
2021-31,13.59
2021-32,7.97
2021-33,29.02
2021-34,18.29
2021-35,17.8
2021-36,15.96
2021-37,7.96
2021-38,10.25
2021-39,19.48
2021-40,31.21
2021-41,9.86
2021-42,11.41
2021-43,12.31
2021-44,18.94
2021-45,5.53
2021-46,18.98
2021-47,16.9
2021-48,12.22
2021-49,15.07
2021-50,11.64
2021-51,17.52
2021-52,2.09
2022-0,0.0
2022-1,13.52
2022-2,27.86
2022-3,17.5
2022-4,16.72
2022-5,15.24
2022-6,17.92
2022-7,13.58
2022-8,23.16
2022-9,14.53
2022-10,12.96
2022-11,8.24
2022-12,21.12
2022-13,18.26
2022-14,14.85
2022-15,24.98
2022-16,6.91
2022-17,26.13
2022-18,10.73
2022-19,21.88
2022-20,27.68
2022-21,14.8
2022-22,15.24
2022-23,6.65
2022-24,7.71
2022-25,11.92
2022-26,6.78
2022-27,1.74
2022-28,5.99
2022-29,11.71
2022-30,10.01
2022-31,16.92
2022-32,11.14
2022-33,13.53
2022-34,21.4
2022-35,22.38
2022-36,2.63
2022-37,2.59
2022-38,2.54
2022-39,0.0
2022-40,15.53
2022-41,17.96
2022-42,9.03
2022-43,7.7
2022-44,16.53
2022-45,8.06
2022-46,15.0
2022-47,9.97
2022-48,10.71
2022-49,10.46
2022-50,15.64
2022-51,18.25
2022-52,9.46
2023-0,8.56
2023-1,9.88
2023-2,23.54
2023-3,10.76
2023-4,25.97
2023-5,17.26
2023-6,11.17
2023-7,11.46
2023-8,16.53
2023-9,8.34
2023-10,12.97
2023-11,13.66
2023-12,16.33
2023-13,17.97
2023-14,28.69
2023-15,18.76
2023-16,15.95
2023-17,8.27
2023-18,1.02
2023-19,11.98
2023-20,16.38
2023-21,13.43
2023-22,10.84
2023-23,9.86
2023-24,7.5
2023-25,14.66
2023-26,8.31
2023-27,33.55
2023-28,23.68
2023-29,19.84
2023-30,12.05
2023-31,6.62
2023-32,10.46
2023-33,9.15
2023-34,14.63
2023-35,7.86
2023-36,0.0
2023-37,2.89
2023-38,5.8
2023-39,9.53
2023-40,6.89
2023-41,3.02
2023-42,5.45
2023-43,22.89
2023-44,7.32
2023-45,13.41
2023-46,19.38
2023-47,7.33
2023-48,2.72
2023-49,29.82
2023-50,24.57
2023-51,10.19
2023-52,0.0
2024-0,9.53
2024-1,9.92
2024-2,12.97
2024-3,39.39
2024-4,22.68
2024-5,1.77
2024-6,0.45
2024-7,0.96
2024-8,0.0
2024-9,1.93
2024-10,8.18
2024-11,16.44
2024-12,21.9
2024-13,20.89
2024-14,5.52
2024-15,6.27
2024-16,8.47
2024-17,7.53
2024-18,27.1
2024-19,19.52
2024-20,2.76
2024-21,5.86
2024-22,10.76
2024-23,6.79
2024-24,16.17
2024-25,7.41
2024-26,4.96
2024-27,7.15
2024-28,21.03
2024-29,43.94
2024-30,26.43
2024-31,14.9
2024-32,29.98
2024-33,28.21
2024-34,16.07
2024-35,16.14
2024-36,8.87
2024-37,31.8
2024-38,21.89
2024-39,0.0
2024-40,3.93
2024-41,3.98
2024-42,6.26
2024-43,0.0
2024-44,0.0
2024-45,18.6
2024-46,10.54
2024-47,14.4
2024-48,62.98
2024-49,48.25
2024-50,7.16
2024-51,6.54
2024-52,3.7
2025-0,3.84
2025-1,7.34
2025-2,14.72
2025-3,9.64
2025-4,5.29
2025-5,14.97
2025-6,17.07
2025-7,6.25
2025-8,16.95
2025-9,17.87
2025-10,11.23
2025-11,21.24
2025-12,35.16
2025-13,9.66
2025-14,0.99
2025-15,0.0
2025-16,0.0
2025-17,2.69
2025-18,0.0
2025-19,17.97
2025-20,0.0
