,hours
2022-13,15.86
2022-14,48.79
2022-15,43.4
2022-16,68.02
2022-17,62.0
2022-18,46.15
2022-19,68.35
2022-20,30.54
2022-21,48.1
2022-22,53.25
2022-23,34.63
2022-24,49.53
2022-25,9.62
2022-26,2.51
2022-27,2.38
2022-28,11.24
2022-29,14.44
2022-30,10.81
2022-31,11.67
2022-32,14.13
2022-33,6.19
2022-34,15.99
2022-35,9.31
2022-36,15.17
2022-37,12.58
2022-38,2.57
2022-39,6.35
2022-40,8.76
2022-41,11.65
2022-42,5.6
2022-43,1.13
2022-44,0.0
2022-45,7.31
2022-46,9.61
2022-47,7.19
2022-48,9.25
2022-49,24.01
2022-50,15.54
2022-51,15.78
2022-52,4.57
2023-0,20.59
2023-1,31.18
2023-2,33.69
2023-3,14.14
2023-4,17.78
2023-5,13.86
2023-6,9.93
2023-7,27.45
2023-8,4.1
2023-9,19.07
2023-10,9.17
2023-11,12.56
2023-12,8.75
2023-13,11.29
2023-14,9.0
2023-15,10.04
2023-16,9.98
2023-17,1.54
2023-18,5.92
2023-19,0.75
2023-20,59.63
2023-21,5.77
2023-22,0.0
2023-23,0.0
2023-24,5.0
2023-25,7.75
2023-26,6.52
2023-27,10.95
2023-28,6.8
2023-29,7.6
2023-30,6.09
2023-31,9.56
2023-32,3.03
2023-33,40.98
2023-34,57.36
2023-35,5.33
2023-36,12.42
2023-37,12.3
2023-38,0.0
2023-39,8.1
2023-40,5.75
2023-41,12.75
2023-42,16.26
2023-43,14.5
2023-44,9.4
2023-45,2.8
2023-46,11.52
2023-47,5.13
2023-48,7.81
2023-49,97.24
2023-50,86.9
2023-51,6.3
2023-52,1.35
2024-0,1.7
2024-1,11.95
2024-2,40.1
2024-3,28.76
2024-4,15.52
2024-5,3.03
2024-6,5.23
2024-7,2.24
2024-8,2.25
2024-9,7.11
2024-10,1.3
2024-11,6.91
2024-12,4.6
2024-13,1.31
2024-14,11.06
2024-15,72.25
2024-16,12.07
2024-17,24.96
2024-18,12.36
2024-19,16.81
2024-20,12.41
2024-21,9.07
2024-22,3.45
2024-23,13.25
2024-24,6.15
2024-25,3.87
2024-26,4.55
2024-27,0.0
2024-28,0.0
2024-29,6.93
2024-30,18.93
2024-31,25.15
2024-32,0.0
2024-33,2.76
2024-34,7.35
2024-35,14.78
2024-36,8.89
2024-37,54.19
2024-38,1.24
2024-39,6.64
2024-40,4.34
2024-41,4.2
2024-42,1.49
2024-43,5.63
2024-44,5.82
2024-45,3.45
2024-46,4.86
2024-47,4.54
2024-48,64.3
2024-49,33.62
2024-50,2.45
2024-51,1.34
2024-52,5.22
2025-0,4.3
2025-1,2.13
2025-2,22.71
2025-3,18.07
2025-4,2.45
2025-5,15.54
2025-6,34.85
2025-7,1.95
2025-8,5.66
2025-9,0.49
2025-10,5.75
2025-11,0.62
2025-12,0.29
2025-13,3.74
2025-14,6.03
2025-15,5.45
2025-16,7.99
2025-17,8.1
2025-18,16.46
2025-19,21.25
2025-20,12.14
2025-21,22.21
2025-22,16.12
2025-23,16.02
2025-24,14.61
2025-25,24.5
2025-26,8.53
2025-27,2.92
2025-28,8.25
2025-29,10.23
2025-30,4.4
2025-31,3.13
2025-32,14.95
2025-33,22.21
2025-34,12.49
2025-35,14.13
2025-36,6.56
2025-37,11.8
2025-38,1.91
2025-39,24.27
2025-40,11.37
2025-41,9.74
2025-42,1.94
2025-43,31.86
2025-44,5.71
2025-45,2.15
2025-46,9.87
2025-47,24.74
2025-48,6.12
2025-49,8.53
2025-50,7.98
2025-51,28.63
2025-52,28.55
2026-0,0.0
