,hours
2022-30,10.71
2022-31,10.24
2022-32,10.95
2022-33,19.7
2022-34,15.17
2022-35,18.79
2022-36,16.24
2022-37,19.47
2022-38,9.91
2022-39,14.75
2022-40,10.37
2022-41,10.87
2022-42,22.2
2022-43,21.41
2022-44,10.76
2022-45,4.61
2022-46,16.27
2022-47,0.0
2022-48,0.0
2022-49,4.96
2022-50,6.96
2022-51,22.18
2022-52,3.96
2023-0,1.67
2023-1,9.33
2023-2,7.53
2023-3,1.1
2023-4,23.12
2023-5,19.41
2023-6,23.47
2023-7,40.13
2023-8,27.72
2023-9,29.7
2023-10,10.44
2023-11,13.41
2023-12,22.87
2023-13,12.11
2023-14,17.95
2023-15,19.48
2023-16,16.03
2023-17,17.25
2023-18,14.29
2023-19,7.06
2023-20,8.98
2023-21,10.41
2023-22,16.27
2023-23,19.4
2023-24,14.49
2023-25,9.21
2023-26,7.73
