,hours
2024-44,0.56
2024-45,10.76
2024-46,19.19
2024-47,19.68
2024-48,22.86
2024-49,19.84
2024-50,23.98
2024-51,23.36
2024-52,11.37
2025-0,20.42
2025-1,34.32
2025-2,29.64
2025-3,34.47
2025-4,30.35
2025-5,68.88
2025-6,64.07
2025-7,85.8
2025-8,51.32
2025-9,36.7
2025-10,53.9
2025-11,44.15
2025-12,36.87
2025-13,29.9
2025-14,36.19
2025-15,25.67
2025-16,40.36
2025-17,34.44
2025-18,32.13
2025-19,35.32
2025-20,36.11
2025-21,43.03
2025-22,36.9
2025-23,34.85
2025-24,40.15
2025-25,26.84
2025-26,37.95
2025-27,39.94
2025-28,45.38
2025-29,33.04
2025-30,22.07
2025-31,20.01
2025-32,30.41
2025-33,26.55
2025-34,24.59
2025-35,41.43
2025-36,49.08
2025-37,26.31
2025-38,34.55
2025-39,24.56
2025-40,21.03
2025-41,20.51
2025-42,26.64
2025-43,29.39
2025-44,32.18
2025-45,29.23
2025-46,3.29
